price	stores	missing_cards
109.04	2	0
126.76	2	0
100.39	3	0
96.75	2	4
137.08	2	0
97.22	3	0
92.50	2	4
92.20	3	1
109.04	2	0
98.15	2	2
109.97	2	0
109.97	2	0
97.76	3	0
98.15	2	2
94.19	3	0
86.11	2	2
94.41	3	0
151.73	2	0
96.75	2	4
109.97	2	0
109.97	2	0
94.41	3	0
96.75	2	4
109.97	2	0
106.33	4	0
122.48	3	0
137.25	2	0
81.51	3	2
121.59	2	1
109.97	2	0
157.80	1	3
109.97	2	0
100.39	3	0
176.83	2	0
96.75	2	4
157.80	1	3
109.97	2	0
106.24	2	0
94.41	3	0
96.75	2	4
109.97	2	0
106.24	2	0
186.75	1	4
109.97	2	0
157.80	1	3
109.97	2	0
94.41	3	0
177.88	2	0
96.75	2	4
186.75	1	4
134.95	2	0
103.41	3	0
101.86	2	2
111.97	3	0
137.25	2	0
90.68	2	4
99.64	3	0
96.75	2	4
109.97	2	0
109.97	2	0
177.88	2	0
94.41	3	0
186.75	1	4
96.75	2	4
126.76	2	0
100.75	3	0
92.50	2	4
109.97	2	0
135.06	2	0
100.79	3	0
96.75	2	4
103.51	3	0
161.97	2	0
157.80	1	3
109.97	2	0
157.80	1	3
109.97	2	0
109.97	2	0
161.97	2	0
112.75	3	0
157.80	1	3
130.05	2	1
94.41	3	0
169.50	2	0
96.75	2	4
157.80	1	3
101.45	3	0
109.97	2	0
93.35	4	0
123.89	2	0
92.20	3	1
98.15	2	2
109.97	2	0
97.01	3	0
126.76	2	0
96.75	2	4
109.97	2	0
109.97	2	0
109.97	2	0
97.76	3	0
109.97	2	0
98.15	2	2
109.97	2	0
109.97	2	0
109.97	2	0
109.97	2	0
137.25	2	0
97.76	3	0
98.15	2	2
109.97	2	0
109.97	2	0
126.76	2	0
102.15	3	0
98.15	2	2
126.76	2	0
97.76	3	0
98.15	2	2
103.72	3	0
108.04	3	0
126.76	2	0
176.83	2	0
96.21	3	0
157.80	1	3
98.15	2	2
109.97	2	0
109.97	2	0
112.77	4	0
123.87	3	0
111.10	3	1
113.55	2	2
109.97	2	0
169.50	2	0
96.98	3	0
98.15	2	2
157.80	1	3
117.91	3	0
93.09	2	2
100.09	3	0
169.50	2	0
96.75	2	4
157.80	1	3
106.24	2	0
94.41	3	0
96.75	2	4
117.37	3	0
97.85	2	1
126.76	2	0
102.15	3	0
98.15	2	2
109.97	2	0
89.15	3	2
109.97	2	0
177.88	2	0
109.23	3	0
186.75	1	4
86.11	2	2
109.97	2	0
109.97	2	0
106.24	2	0
100.79	3	0
96.75	2	4
101.65	3	0
98.15	2	2
109.97	2	0
109.04	2	0
97.01	3	0
96.75	2	4
126.40	2	0
94.41	3	0
96.75	2	4
94.41	3	0
121.59	2	1
96.75	2	4
97.76	3	0
142.38	2	0
98.15	2	2
126.76	2	0
97.01	3	0
96.75	2	4
96.21	3	0
123.89	2	0
98.15	2	2
126.40	2	0
97.76	3	0
98.15	2	2
151.73	2	0
100.39	3	0
96.75	2	4
109.97	2	0
109.97	2	0
176.83	2	0
107.08	3	0
157.80	1	3
117.55	2	4
126.76	2	0
98.15	2	2
94.75	3	0
96.75	2	4
109.97	2	0
137.25	2	0
93.19	4	0
122.77	3	0
89.15	3	2
125.71	2	1
102.15	3	0
98.15	2	2
121.12	3	0
134.95	2	0
105.13	4	0
92.17	2	5
103.28	3	3
109.97	2	0
97.76	3	0
98.15	2	2
